,Unnamed: 0,area/volume,h_range_max_koe,Tc,temperature_k,sat_em_g,coer_oe,mr (emu/g),exc_bias_oe,exc_dir,ver_shift_emu_g,ver_s_dir,fc_field_t,sphericity,max/min,core_b,core_alpha,core_beta,core_gamma,shell_b,shell_alpha,shell_beta,shell_gamma,num_of_magn_ions,Tn-Tb/Tn,Aex,core_c/a,core,shell,formula,core_atomic_percent,core_pauling_electronegativity,shell_atomic_percent,shell,core_sum_vec,core_sum_work_function,shell_sum_vec,shell_sum_work_function
45,46,0.15625,30,858,300,41,652.1534,8.954,82.0306,0,0,1,0,1,1.246753247,5.512634482,96.20340084,96.20340084,141.6175122,5.142692,74.87633512,90,90,0.4444444444,-0.33,105.1878621,1,FeO,Fe3O4,FeO-Fe3O4,"{'Fe': 50.0, 'O': 50.0}",263.5,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,700,235,685.7142857,201.4285714
46,47,0.15625,30,858,300,53,652.1534,10.8,82.0306,0,0,1,0,1,1.246753247,5.512634482,96.20340084,96.20340084,141.6175122,5.142692,74.87633512,90,90,0.4444444444,-0.33,105.1878621,1,FeO,Fe3O4,FeO-Fe3O4,"{'Fe': 50.0, 'O': 50.0}",263.5,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,700,235,685.7142857,201.4285714
47,48,0.15625,30,858,210,37.7,13,0.294,2.5,0,0,1,5,1,1.246753247,5.512634482,96.20340084,96.20340084,141.6175122,5.142692,74.87633512,90,90,0.4444444444,-0.33,105.1878621,1,FeO,Fe3O4,FeO-Fe3O4,"{'Fe': 50.0, 'O': 50.0}",263.5,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,700,235,685.7142857,201.4285714
48,49,0.15625,30,858,120,37,560,2.8,719,0,3.99,1,5,1,1.246753247,5.512634482,96.20340084,96.20340084,141.6175122,5.142692,74.87633512,90,90,0.4444444444,-0.33,105.1878621,1,FeO,Fe3O4,FeO-Fe3O4,"{'Fe': 50.0, 'O': 50.0}",263.5,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,700,235,685.7142857,201.4285714
49,50,0.15625,30,858,2,54.8,767,22.313,329,0,9.188,1,5,1,1.750289017,5.512634482,96.20340084,96.20340084,141.6175122,5.142692,74.87633512,90,90,0.4444444444,-0.33,105.1878621,1,FeO,Fe3O4,FeO-Fe3O4,"{'Fe': 50.0, 'O': 50.0}",263.5,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,700,235,685.7142857,201.4285714
50,51,0.05767012687,15,858,60,33,95.69,8.6,329.43,0,8.6,1,2.414,1,1,5.142692,74.87633512,90,90,2.924839357,90,90,119.9999855,0.4444444444,0.6369346734,110.0060416,1.708366274,Fe3O4,NiO,Fe3O4-NiO,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,"{'Ni': 50.0, 'O': 50.0}",267.5,685.7142857,201.4285714,800,257.5
51,52,0.09448818898,15,860,60,44.89,145.18,8.16,145.18,1,8.16,0,1.214,1,1,2.924839357,90,90,119.9999855,5.142692,74.87633512,90,90,0.4444444444,0.6837333333,105.4330552,1.176906346,NiO,Fe3O4,NiO-Fe3O4,"{'Ni': 50.0, 'O': 50.0}",267.5,"{'Fe': 42.857142857142854, 'O': 57.14285714285714}",275,800,257.5,685.7142857,201.4285714
52,53,0.1578947368,50,778,2,1.4325,1300,0.052,1600,0,0.053,1,5,1,1,8.071366,90,90,90,5.388093916,122.2098958,142.6878026,47.91917824,0.25,0.9066874028,27.57274613,1.419153807,Fe4Bi2O9,FeBiO3,Bi2Fe4O9-BiFeO3,"{'Fe': 26.666666666666668, 'Bi': 13.333333333333334, 'O': 60.0}",255.2,"{'Fe': 20.0, 'Bi': 20.0, 'O': 60.0}",243,573.3333333,125.3333333,520,94
53,55,0.1578947368,50,837.4,2,19.42686,900,0.0365,1500,0,0.058,1,5,1,1,5.388093916,122.2098958,142.6878026,47.91917824,8.071366,90,90,90,0.25,0.8983050847,41.18262763,0.6286584682,FeBiO3,Fe4Bi2O9,BiFeO3/Bi2Fe4O9,"{'Fe': 20.0, 'Bi': 20.0, 'O': 60.0}",243,"{'Fe': 26.666666666666668, 'Bi': 13.333333333333334, 'O': 60.0}",255.2,520,94,573.3333333,125.3333333
54,56,0.2307692308,50,712.6,2,3.0868,750,0.049,1650,1,0.061,1,5,1,1,5.388093916,122.2098958,142.6878026,47.91917824,8.071366,90,90,90,0.25,0.8983050847,35.0450686,0.6286584682,FeBiO3,Fe4Bi2O9,BiFeO3/Bi2Fe4O9,"{'Fe': 20.0, 'Bi': 20.0, 'O': 60.0}",243,"{'Fe': 26.666666666666668, 'Bi': 13.333333333333334, 'O': 60.0}",255.2,520,94,573.3333333,125.3333333
