area/volume,h_range_max_koe,Tc,temperature_k,sat_em_g,coer_oe,mr (emu/g),exc_bias_oe,exc_dir,ver_shift_emu_g,ver_s_dir,fc_field_t,sphericity,max/min,core_b,core_alpha,core_beta,core_gamma,shell_b,shell_alpha,shell_beta,shell_gamma,num_of_magn_ions,Tn-Tb/Tn,Aex,core_c/a,core_pauling_electronegativity,shell_pauling_electronegativity,core_sum_vec,core_sum_work_function,shell_sum_vec,shell_sum_work_function,core_pauling_electronegativity_difference,core_vec_difference,core_work_function_difference,shell_pauling_electronegativity_difference,shell_vec_difference,shell_work_function_difference,core,shell,formula
0.1,6,1661,5,31.472,280,6.2542,71,0,0,1,0.5,1,1,2.48976,60,60,60,3.011828,107.295,89.50258,120.0378,0.666667,0.334471,411.9435,1,188,266,900,500,750,250,0,0,0,2.932331,2,10,Co,CoO,Co-CoO
0.1,6,1661,5,19.872,532.96,4.4662,346.379,0,0,1,0.5,1,1,2.48976,60,60,60,3.011828,107.295,89.50258,120.0378,0.666667,0.334471,411.9435,1,188,266,900,500,750,250,0,0,0,2.932331,2,10,Co,CoO,Co-CoO
0.12,0.1,370,2,9.560017,1661.385,0.059892,952.57,0,0,1,1,1,1,3.018914,90,90,90,0,0,0,0,0.5,0.927027,183.8409,1,91.5,0,400,235,0,0,7.071068,7.071068,7.071068,0,-2.22E-16,0,FeRh,0,FeRh
0.12,0.1,370,2,18.248,1322.79,0.059892,629.898,0,0,1,1,1,1,3.018914,90,90,90,0,0,0,0,0.5,0.923513,183.8409,1,91.5,0,400,235,0,0,7.071068,7.071068,7.071068,0,-2.22E-16,0,FeRh,0,FeRh
0.12,0.1,370,2,18.248,1070.862,0.059892,519.698,0,0,1,1,1,1,3.018914,90,90,90,0,0,0,0,0.5,0.923513,183.8409,1,91.5,0,400,235,0,0,7.071068,7.071068,7.071068,0,-2.22E-16,0,FeRh,0,FeRh
0.12,0.1,370,2,18.248,881.8975,0.059892,472.1585,0,0,1,1,1,1,3.018914,90,90,90,0,0,0,0,0.5,0.923513,183.8409,1,91.5,0,400,235,0,0,7.071068,7.071068,7.071068,0,-2.22E-16,0,FeRh,0,FeRh
0.015,0.1,370,2,16.358,806.3,8.35808,278.3,0,0,1,5,1,1,3.018914,90,90,90,0,0,0,0,0.5,0.923513,183.8409,1,91.5,0,400,235,0,0,7.071068,7.071068,7.071068,0,-2.22E-16,0,FeRh,0,FeRh
0.015,0.1,370,2,16.358,697.695,8.35808,185.144,0,0,1,5,1,1,3.018914,90,90,90,0,0,0,0,0.5,0.923513,183.8409,1,91.5,0,400,235,0,0,7.071068,7.071068,7.071068,0,-2.22E-16,0,FeRh,0,FeRh
0.015,0.1,370,2,16.358,636.065,8.35808,108.065,0,0,1,5,1,1,3.018914,90,90,90,0,0,0,0,0.5,0.923513,183.8409,1,91.5,0,400,235,0,0,7.071068,7.071068,7.071068,0,-2.22E-16,0,FeRh,0,FeRh
0.015,0.1,370,2,16.358,604.83,8.35808,76.83,0,0,1,5,1,1,3.018914,90,90,90,0,0,0,0,0.5,0.923513,183.8409,1,91.5,0,400,235,0,0,7.071068,7.071068,7.071068,0,-2.22E-16,0,FeRh,0,FeRh
0.3,80,140,5,6.9,145,0.022,440,0,0.07,1,1,0.064366,50,2.920997,90,90,90,0,0,0,0,0.333333,-1.19048,71.89326,1.2685,281,0,633.3333,136.6667,0,0,3.170657,0.744323,14.14214,0,-2.22E-16,0,MnO2,0,MnO2
0.046154,4,858,5,60,1186,16.22,551.72,0,0.848,1,5,1,1,2.941952,60,60,60,5.142692,74.87634,90,90,0.5,0.85687,105.1879,1,0,275,0,0,685.7143,201.4286,0,0,0,2.897249,1.443376,11.54701,Ag,Fe3O4,Ag-Fe3O4
0.046154,4,858,5,60,1186,16.22,551.72,0,0,1,1,1,1,2.941952,60,60,60,5.142692,74.87634,90,90,0.5,0.896789,105.1879,1,0,275,0,0,685.7143,201.4286,0,0,0,2.897249,1.443376,11.54701,Ag,Fe3O4,Ag-Fe3O4
0.257511,4,1043,5,384.57,2095.77,247.96,96.767,0,111.36,1,5,1,1,2.459352,109.4691,109.4671,109.4596,3.788512,90,90,90,0.5,0.883966,137.653,1.000148,183,279.6,800,470,680,188,0,0,0,2.820943,1.440876,12.24745,Fe,Fe2O3,Fe-Fe2O3
0.15625,30,858,300,35,652.1534,5.14,93.2306,0,0,1,0,1,1.246753,5.512634,96.2034,96.2034,141.6175,5.142692,74.87634,90,90,0.444444,-0.33,105.1879,1,263.5,275,700,235,685.7143,201.4286,3.055028,1.428571,10,2.897249,1.443376,11.54701,FeO,Fe3O4,FeO-Fe3O4
0.15625,30,858,300,41,652.1534,8.954,82.0306,0,0,1,0,1,1.246753,5.512634,96.2034,96.2034,141.6175,5.142692,74.87634,90,90,0.444444,-0.33,105.1879,1,263.5,275,700,235,685.7143,201.4286,3.055028,1.428571,10,2.897249,1.443376,11.54701,FeO,Fe3O4,FeO-Fe3O4
0.15625,30,858,300,53,652.1534,10.8,82.0306,0,0,1,0,1,1.246753,5.512634,96.2034,96.2034,141.6175,5.142692,74.87634,90,90,0.444444,-0.33,105.1879,1,263.5,275,700,235,685.7143,201.4286,3.055028,1.428571,10,2.897249,1.443376,11.54701,FeO,Fe3O4,FeO-Fe3O4
0.15625,30,858,210,37.7,13,0.294,2.5,0,0,1,5,1,1.246753,5.512634,96.2034,96.2034,141.6175,5.142692,74.87634,90,90,0.444444,-0.33,105.1879,1,263.5,275,700,235,685.7143,201.4286,3.055028,1.428571,10,2.897249,1.443376,11.54701,FeO,Fe3O4,FeO-Fe3O4
