,area/volume,volume,area,space_group_core,space_group_shell,h_range_max_koe,Tb,TN,Tc,x,y,z,shape,temperature_k,sat_em_g,coer_oe,mr (emu/g),exc_bias_oe,exc_dir,ver_shift_emu_g,ver_s_dir,fc_field_t,id,sphericity,max/min,core,shell,formula
263,0.10344827586206898,102160.31801333332,10568.30876,225.0,225.0,20.0,5.0,525.0,720.0,29.0,29.0,29.0,1.0,100.0,12.75200000000001,143.0,0.0021419999999992,24.0,0.0,0.003549999999999942,1.0,2.0,<built-in function id>,1.0,1.0,NiO,NiO,NiO-NiO
264,0.10344827586206898,102160.31801333332,10568.30876,225.0,225.0,20.0,5.0,525.0,720.0,29.0,29.0,29.0,1.0,200.0,1.5234000000000378,148.0,0.00241399999999814,22.0,0.0,0.004229999999999956,1.0,2.0,<built-in function id>,1.0,1.0,NiO,NiO,NiO-NiO
265,0.10344827586206898,102160.31801333332,10568.30876,225.0,225.0,20.0,5.0,525.0,720.0,29.0,29.0,29.0,1.0,300.0,0.8934000000000424,88.5,0.0015099999999996783,32.5,0.0,0.005249999999999977,1.0,2.0,<built-in function id>,1.0,1.0,NiO,NiO,NiO-NiO
266,0.09677419354838711,124788.14358666666,12076.27196,225.0,225.0,20.0,5.0,525.0,720.0,31.0,31.0,31.0,1.0,25.0,6.668000000000006,3.799999999999727,0.007774999999998755,1.5,0.0,0.00019817999999993674,0.0,2.0,<built-in function id>,1.0,1.0,NiO,NiO,NiO-NiO
267,0.09677419354838711,124788.14358666666,12076.27196,225.0,225.0,20.0,5.0,525.0,720.0,31.0,31.0,31.0,1.0,25.0,6.668000000000006,3.799999999999727,0.005654999999999077,12.0,0.0,0.00019817999999993674,0.0,2.0,<built-in function id>,1.0,1.0,NiO,NiO,NiO-NiO
268,0.09677419354838711,124788.14358666666,12076.27196,225.0,225.0,20.0,5.0,525.0,720.0,31.0,31.0,31.0,1.0,2.0,15.127999999999986,6.5,5.599999999894578e-05,15.5,0.0,0.00011899999999998023,1.0,2.0,<built-in function id>,1.0,1.0,NiO,NiO,NiO-NiO
269,0.09677419354838711,124788.14358666666,12076.27196,225.0,225.0,20.0,5.0,525.0,720.0,31.0,31.0,31.0,1.0,50.0,12.75200000000001,14.0,0.00013499999999844192,11.0,0.0,0.00010899999999991472,1.0,2.0,<built-in function id>,1.0,1.0,NiO,NiO,NiO-NiO
270,0.09677419354838711,124788.14358666666,12076.27196,225.0,225.0,20.0,5.0,525.0,720.0,31.0,31.0,31.0,1.0,100.0,12.752000000000066,35.0,0.0001039999999985497,11.0,0.0,0.00033199999999999896,1.0,2.0,<built-in function id>,1.0,1.0,NiO,NiO,NiO-NiO
271,0.09677419354838711,124788.14358666666,12076.27196,225.0,225.0,20.0,5.0,525.0,720.0,31.0,31.0,31.0,1.0,200.0,1.6433999999999855,36.0,7.499999999893703e-05,7.0,0.0,0.00036400000000003097,1.0,2.0,<built-in function id>,1.0,1.0,NiO,NiO,NiO-NiO
272,0.09677419354838711,124788.14358666666,12076.27196,225.0,225.0,20.0,5.0,525.0,720.0,31.0,31.0,31.0,1.0,300.0,17.825000000000045,12.0,8.899999999911756e-05,2.0,1.0,1.999999999990898e-05,0.0,2.0,<built-in function id>,1.0,1.0,NiO,NiO,NiO-NiO
