link,id,space_group_core,space_group_shell,core,shell,h_range_max_koe,chemical formula,Tb,TN,Tc,c1,c2,x,y,z,shape,temperature_k,sat_em_g,coer_oe,mr (emu/g),exc_bias_oe,exc_dir,ver_shift_emu_g,ver_s_dir,fc_field_t
doi.org/10.1021/nl2034514,113,225,227,Fe1O1,Fe3O4,20,FeO-Fe3O4,266,200,860,FeO,Fe3O4,32,32,32,3,2,54.36,2762,6.795,2762,0,3.125,1,1
doi.org/10.1021/nl2034514,114,225,227,Fe1O1,Fe3O4,20,FeO-Fe3O4,266,200,860,FeO,Fe3O4,35,35,35,3,2,31.729,2396.15,9.495,2250,0,2,1,1
doi.org/10.1021/nl2034514,115,225,227,Fe1O1,Fe3O4,20,FeO-Fe3O4,266,200,860,FeO,Fe3O4,35,35,35,5,2,44.14,959.2,13.638,583,0,7.934,1,1
doi.org/10.1103/PhysRevB.80.134418,116,229,62,Fe1,Fe3O4,10,Fe-Fe3O4,115,856,860,Fe,Fe3O4,13.8,13.8,13.8,1,5,31,1897,28.9,1190,0,0,1,1
doi.org/10.1103/PhysRevB.80.134418,117,62,0,Fe3O4,0,10,Fe3O4,118,858,858,Fe3O4,0,16,16,16,1,5,84,862,76.8,133,0,0.4476,1,1
doi.org/10.3390/nano12030456,118,229,212,Fe1,Fe2O3,60,Fe-Fe2O3,110,948,985,Fe,Fe2O3,15,15,15,1,30,15.1225,1361.79,,20,0,0.3699,1,5
doi.org/10.3390/nano12030456,119,229,212,Fe1,Fe2O3,60,Fe-Fe2O3,110,948,985,Fe,Fe2O3,10,10,10,1,15,15.2465,2544.74,,1071.526,0,0.514774,1,5
doi.org/10.3390/nano12030456,120,229,212,Fe1,Fe2O3,60,Fe-Fe2O3,110,948,985,Fe,Fe2O3,8,8,8,1,10,15.2465,2545,,2188,0,0.626774,1,5
doi.org/10.3390/nano12030456,121,229,212,Fe1,Fe2O3,60,Fe-Fe2O3,110,948,985,Fe,Fe2O3,15,15,15,1,5,,,,1600,0,0,1,1
doi.org/10.3390/nano12030456,122,229,212,Fe1,Fe2O3,60,Fe-Fe2O3,110,948,985,Fe,Fe2O3,10,10,10,1,5,,,,3500,0,0.000912,1,1
doi.org/10.3390/nano12030456,123,225,227,Fe1O1,Fe3O4,50,FeO-Fe3O4,386,335,860,FeO,Fe3O4,18,18,18,2,300,38.9,1538.46,16.23,1000,0,0,1,0
doi.org/10.3390/nano12030456,124,229,212,Fe1,Fe2O3,10,Fe-Fe2O3,110,948,985,Fe,Fe2O3,11.3,11.3,11.3,1,5,0.989,10873.37,0.9845,22459,0,2.046,1,7
doi.org/10.3390/nano12030456,125,229,212,Fe1,Fe2O3,10,Fe-Fe2O3,110,948,985,Fe,Fe2O3,11.3,11.3,11.3,1,5,5.227,14972.9325,1.3525,18003,0,1.957,1,9
