,id,space_group_shell,coer_oe,exc_bias_oe,fc_field_t,h_range_max_koe,mr (emu/g),sat_em_g,shape,space_group_core,temperature_k,ver_shift_emu_g,sphericity,max/min,exc_dir,ver_s_dir,area/volume
15,16,0,1074.0,502.0,2.0,60.0,0.0588000000000015,0.6599999999999966,1.0,62.0,5.0,0.0229999999999996,1.00000028155478,1,0,1,0.08333333333333333
16,17,0,1483.0,2157.0,5.0,60.0,0.0519999999999996,0.6599999999999966,1.0,62.0,5.0,0.084,1.00000028155478,1,0,1,0.08333333333333333
17,18,225,634.0,130.0,1.0,2.5,21.5,26.6,1.0,225.0,8.0,0.0,1.00000028155478,1,0,1,0.09999999999999999
18,19,225,641.0,137.00000000000006,1.0,2.5,21.5,26.4,1.0,225.0,8.0,0.0,1.00000028155478,1,0,1,0.09999999999999999
19,20,225,379.0,38.0,1.0,2.5,8.9,15.199999999999996,1.0,225.0,8.0,0.0,1.00000028155478,1,0,1,0.09999999999999999
20,21,225,546.9999999999998,73.0,1.0,2.5,10.7,14.699999999999996,1.0,225.0,8.0,0.0,1.00000028155478,1,0,1,0.09999999999999999
21,22,225,534.0,81.0,1.0,2.5,13.0,16.0,1.0,225.0,8.0,0.0,1.00000028155478,1,0,1,0.09999999999999999
22,23,225,756.0,109.0,1.0,2.5,12.8,16.5,1.0,225.0,8.0,0.0,1.00000028155478,1,0,1,0.09999999999999999
23,24,0,8.449999999999818,0.0,0.0,20.0,0.1400000000000005,12.75,5.0,227.0,300.0,0.0,0.6711392913128502,1,1,1,1.2247448713915887
24,25,0,9.88000000000011,0.0,0.0,20.0,0.3399999999999998,18.61,5.0,227.0,300.0,0.0,0.6711392913128504,1,1,1,0.9185586535436916
25,26,0,22.340000000000146,0.0,0.0,20.0,1.2400000000000002,24.52,2.0,227.0,300.0,0.0,0.5166432673376116,1,1,1,0.28125
26,27,0,59.659999999999854,0.0,0.0,20.0,3.810000000000001,29.42,2.0,227.0,300.0,0.0,0.5166432673376116,1,1,1,0.20454545454545456
27,28,0,1400.0,0.0,0.5,15.0,32.0,75.0,1.0,227.0,300.0,0.0,1.00000028155478,1,1,1,0.1694915254237288
28,29,0,0.0,0.0,0.5,15.0,0.0300000000000011,0.1199999999999974,1.0,161.0,300.0,0.0,1.00000028155478,1,1,1,0.14705882352941177
29,30,161,902.2495,112.78100000000006,10.0,60.0,31.042,74.595,1.0,227.0,350.0,0.0,1.0000002815547795,1,1,1,0.12345679012345678
30,31,161,1316.317,226.736,10.0,60.0,39.222,79.167,1.0,227.0,300.0,0.0,1.0000002815547795,1,1,1,0.12345679012345678
31,32,161,1616.53,170.0,10.0,60.0,41.629000000000005,83.259,1.0,227.0,250.0,0.0,1.0000002815547795,1,1,1,0.09118541033434649
32,33,161,2594.2375,169.13099999999997,10.0,60.0,56.0,85.9,1.0,227.0,200.0,0.0,1.0000002815547795,1,1,1,0.12345679012345678
33,34,161,6052.7,112.77999999999996,10.0,60.0,67.858,87.0,1.0,227.0,100.0,0.0,1.0000002815547795,1,1,1,0.12345679012345678
