,c1,c2,c3,chemical_formula,coer_oe,crystal_structure,depth_nm,exc_bias_oe,fc_field_t,h_range_max_koe,id,length_d_nm,mr (emu/g),sat_em_g,shape,space_group_core,space_group_shell,structure,structure_,temperature_k,ver_shift_emu_g,width_nm,orig_c1,orig_c2,formula_combined
31,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']",1616.53,"cubic, trigonal",32.9,170.0,10.0,60.0,32,32.9,41.629,83.259,sphere,fd-3m,r3c,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,250.0,0.0,32.9,CoFe2O4,BiFeO3,Fe2 Co1 O4 Fe1 Bi1 O3
32,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']",2594.2375,"cubic, trigonal",24.3,169.131,10.0,60.0,33,24.3,56.0,85.9,sphere,fd-3m,r3c,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,200.0,0.0,24.3,CoFe2O4,BiFeO3,Fe2 Co1 O4 Fe1 Bi1 O3
33,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']",6052.7,"cubic, trigonal",24.3,112.78,10.0,60.0,34,24.3,67.858,87.0,sphere,fd-3m,r3c,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,100.0,0.0,24.3,CoFe2O4,BiFeO3,Fe2 Co1 O4 Fe1 Bi1 O3
34,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']",7932.631,"cubic, trigonal",32.9,56.18,10.0,60.0,35,32.9,71.226,87.5,sphere,fd-3m,r3c,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,50.0,0.0,32.9,CoFe2O4,BiFeO3,Fe2 Co1 O4 Fe1 Bi1 O3
35,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']",4116.89,"cubic, trigonal",24.3,90.0,10.0,60.0,36,24.3,63.046,87.349,sphere,fd-3m,r3c,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,150.0,0.0,24.3,CoFe2O4,BiFeO3,Fe2 Co1 O4 Fe1 Bi1 O3
36,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']",8966.0,"cubic, trigonal",32.9,50.0,10.0,60.0,37,32.9,73.151,87.83,sphere,fd-3m,r3c,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,5.0,0.0,32.9,CoFe2O4,BiFeO3,Fe2 Co1 O4 Fe1 Bi1 O3
37,Co1,Co1 O1,,"['Co', 'CoO']",538.42,"hexagonal, cubic ",30.0,-142.78,0.5,6.0,38,30.0,,,sphere,p63/mmc,fm-3m,Co/CoO,Co/CoO,5.0,0.0,30.0,Co,CoO,Co1 Co1 O1
38,Co1,Co1 O1,,"['Co', 'CoO']",434.0,"hexagonal, cubic ",30.0,-137.21,0.5,6.0,39,30.0,,,sphere,p63/mmc,fm-3m,Co/CoO,Co/CoO,5.0,0.0,30.0,Co,CoO,Co1 Co1 O1
39,Co1,Co1 O1,,"['Co', 'CoO']",280.0,"hexagonal, cubic ",30.0,-71.0,0.5,6.0,40,30.0,,,sphere,p63/mmc,fm-3m,Co/CoO,Co/CoO,5.0,0.0,30.0,Co,CoO,Co1 Co1 O1
40,Co1,Co1 O1,,"['Co', 'CoO']",532.96,"hexagonal, cubic ",30.0,-346.379,0.5,6.0,41,30.0,,,sphere,p63/mmc,fm-3m,Co/CoO,Co/CoO,5.0,0.0,30.0,Co,CoO,Co1 Co1 O1
41,Fe1 Rh1,,,['FeRh'],1661.3845,cubic,25.0,-952.57,1.0,0.1,42,25.0,,,,pm-3m,0,FeRh,FeRh,2.0,0.0,25.0,FeRh,,Fe1 Rh1
42,Fe1 Rh1,,,['FeRh'],1322.79,cubic,25.0,-629.898,1.0,0.1,43,25.0,,,,pm-3m,0,FeRh,FeRh,2.0,0.0,25.0,FeRh,,Fe1 Rh1
43,Fe1 Rh1,,,['FeRh'],1070.862,cubic,25.0,-519.698,1.0,0.1,44,25.0,,,,pm-3m,0,FeRh,FeRh,2.0,0.0,25.0,FeRh,,Fe1 Rh1
44,Fe1 Rh1,,,['FeRh'],881.8975,cubic,25.0,-472.1585,1.0,0.1,45,25.0,,,,pm-3m,0,FeRh,FeRh,2.0,0.0,25.0,FeRh,,Fe1 Rh1
45,Fe1 Rh1,,,['FeRh'],806.3,cubic,200.0,-278.3,5.0,0.1,46,200.0,,,,pm-3m,0,FeRh,FeRh,2.0,0.0,200.0,FeRh,,Fe1 Rh1
46,Fe1 Rh1,,,['FeRh'],697.695,cubic,200.0,-185.144,5.0,0.1,47,200.0,,,,pm-3m,0,FeRh,FeRh,2.0,0.0,200.0,FeRh,,Fe1 Rh1
47,Fe1 Rh1,,,['FeRh'],636.065,cubic,200.0,-108.065,5.0,0.1,48,200.0,,,,pm-3m,0,FeRh,FeRh,2.0,0.0,200.0,FeRh,,Fe1 Rh1
