,volume,area,c1,c2,c3,chemical_formula,crystal_structure,z,id,space_group_shell,formula_combined,coer_oe,exc_bias_oe,fc_field_t,h_range_max_koe,y,mr (emu/g),sat_em_g,shape,space_group_core,temperature_k,ver_shift_emu_g,x,mass_ratio,sphericity,max/min,exc_dir,ver_s_dir
31,149168.0925460133,13601.953727599997,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']",13,32.9,32,161,Fe3 Co1 Bi1 O7,1616.53,170.0,10.0,60.0,32.900000000000006,41.629000000000005,83.259,1.0,227.0,250.0,0.0,32.9,29,1.0000002815547797,1,1,1
32,60104.51032284,7420.3099164,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']",13,24.3,33,161,Fe3 Co1 Bi1 O7,2594.2375,169.13099999999997,10.0,60.0,24.300000000000004,56.0,85.9,1.0,227.0,200.0,0.0,24.3,29,1.0000002815547797,1,1,1
33,60104.51032284,7420.3099164,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']",13,24.3,34,161,Fe3 Co1 Bi1 O7,6052.7,112.77999999999996,10.0,60.0,24.300000000000004,67.858,87.0,1.0,227.0,100.0,0.0,24.3,29,1.0000002815547797,1,1,1
34,149168.0925460133,13601.953727599997,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']",13,32.9,35,161,Fe3 Co1 Bi1 O7,7932.630999999999,56.17999999999995,10.0,60.0,32.900000000000006,71.226,87.5,1.0,227.0,50.0,0.0,32.9,29,1.0000002815547797,1,1,1
35,60104.51032284,7420.3099164,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']",13,24.3,36,161,Fe3 Co1 Bi1 O7,4116.89,90.0,10.0,60.0,24.300000000000004,63.046,87.349,1.0,227.0,150.0,0.0,24.3,29,1.0000002815547797,1,1,1
36,149168.0925460133,13601.953727599997,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']",13,32.9,37,161,Fe3 Co1 Bi1 O7,8966.0,50.0,10.0,60.0,32.900000000000006,73.151,87.83000000000001,1.0,227.0,5.0,0.0,32.9,29,1.0000002815547797,1,1,1
37,113097.23999999999,11309.724,Co1,Co1 O1,,"['Co', 'CoO']",16,30.0,38,225,Co2 O1,538.4200000000001,142.77999999999997,0.5,6.0,30.0,4.366099999999999,18.372,1.0,194.0,5.0,0.0,30.0,74,1.00000028155478,1,0,1
38,113097.23999999999,11309.724,Co1,Co1 O1,,"['Co', 'CoO']",16,30.0,39,225,Co2 O1,434.0,137.21000000000004,0.5,6.0,30.0,4.366099999999999,18.372,1.0,194.0,5.0,0.0,30.0,74,1.00000028155478,1,0,1
39,113097.23999999999,11309.724,Co1,Co1 O1,,"['Co', 'CoO']",16,30.0,40,225,Co2 O1,280.0,71.0,0.5,6.0,30.0,4.366099999999999,18.372,1.0,194.0,5.0,0.0,30.0,74,1.00000028155478,1,0,1
40,113097.23999999999,11309.724,Co1,Co1 O1,,"['Co', 'CoO']",16,30.0,41,225,Co2 O1,532.96,346.379,0.5,6.0,30.0,4.366099999999999,18.372,1.0,194.0,5.0,0.0,30.0,74,1.00000028155478,1,0,1
41,65449.79166666666,7853.974999999999,Fe1 Rh1,,,['FeRh'],3,25.0,42,0,Fe1 Rh1,1661.3845,952.57,1.0,0.1000000000000014,25.0,12.38458,31.36,1.0,221.0,2.0,0.0,25.0,30,1.00000028155478,1,0,1
42,65449.79166666666,7853.974999999999,Fe1 Rh1,,,['FeRh'],3,25.0,43,0,Fe1 Rh1,1322.79,629.898,1.0,0.1000000000000014,25.0,11.45314,55.6912,1.0,221.0,2.0,0.0,25.0,30,1.00000028155478,1,0,1
43,65449.79166666666,7853.974999999999,Fe1 Rh1,,,['FeRh'],3,25.0,44,0,Fe1 Rh1,1070.862,519.698,1.0,0.1000000000000014,25.0,15.9,20.040000000000003,1.0,221.0,2.0,0.0,25.0,30,1.00000028155478,1,0,1
44,65449.79166666666,7853.974999999999,Fe1 Rh1,,,['FeRh'],3,25.0,45,0,Fe1 Rh1,881.8975,472.1585,1.0,0.1000000000000014,25.0,15.9,20.040000000000003,1.0,221.0,2.0,0.0,25.0,30,1.00000028155478,1,0,1
45,33510293.33333333,502654.39999999997,Fe1 Rh1,,,['FeRh'],3,200.0,46,0,Fe1 Rh1,806.3,278.3,5.0,0.1000000000000014,200.0,5.9,31.04,1.0,221.0,2.0,0.0,200.0,30,1.0000002815547795,1,0,1
46,33510293.33333333,502654.39999999997,Fe1 Rh1,,,['FeRh'],3,200.0,47,0,Fe1 Rh1,697.6950000000002,185.144,5.0,0.1000000000000014,200.0,5.9,31.04,1.0,221.0,2.0,0.0,200.0,30,1.0000002815547795,1,0,1
47,33510293.33333333,502654.39999999997,Fe1 Rh1,,,['FeRh'],3,200.0,48,0,Fe1 Rh1,636.065,108.06499999999994,5.0,0.1000000000000014,200.0,5.9,31.04,1.0,221.0,2.0,0.0,200.0,30,1.0000002815547795,1,0,1
48,33510293.33333333,502654.39999999997,Fe1 Rh1,,,['FeRh'],3,200.0,49,0,Fe1 Rh1,604.8299999999999,76.83000000000004,5.0,0.1000000000000014,200.0,5.9,31.04,1.0,221.0,2.0,0.0,200.0,30,1.0000002815547795,1,0,1
49,628318.0,26376.0,Mn1 O2,,,['MnO2'],21,0.0,50,0,Mn1 O2,145.0,440.0,1.0,80.0,1000.0,0.0219999999999984,6.900000000000002,6.0,87.0,5.0,0.07,20.0,56,1.3450182940612594,0,0,1
50,1150345.538333333,53092.871,Ag1,Fe3 O4,,"['Ag', 'Fe3O4']",7,65.0,51,227,Fe3 Ag1 O4,1186.0,551.72,5.0,4.0,65.0,16.22,60.0,1.0,225.0,5.0,0.848,65.0,45,1.0000002815547797,1,0,1
51,1150345.538333333,53092.871,Ag1,Fe3 O4,,"['Ag', 'Fe3O4']",7,65.0,52,227,Fe3 Ag1 O4,1186.0,551.72,1.0,4.0,65.0,16.22,60.0,1.0,225.0,5.0,0.0,65.0,45,1.0000002815547797,1,0,1
52,6623.171770971667,1705.5377950999998,Fe1,Fe2 O3,,"['Fe', 'Fe2O3']",7,11.65,53,212,Fe3 O3,2095.77,96.76699999999994,5.0,4.0,11.65,247.96,384.57,1.0,229.0,5.0,111.36,11.65,68,1.00000028155478,1,0,1
53,6623.171770971667,1705.5377950999998,Fe1,Fe2 O3,,"['Fe', 'Fe2O3']",7,11.65,54,212,Fe3 O3,1812.0,1812.0,5.0,4.0,11.65,155.91,326.6,1.0,229.0,5.0,157.4,11.65,68,1.00000028155478,1,0,1
54,6623.171770971667,1705.5377950999998,Fe1,Fe2 O3,,"['Fe', 'Fe2O3']",7,11.65,55,212,Fe3 O3,7238.0,7238.0,5.0,4.0,11.65,117.33700000000002,326.6,1.0,229.0,5.0,117.0,11.65,68,1.00000028155478,1,0,1
55,21688.35193337332,3760.9858843999987,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']",7,,56,227,Fe4 O5,4791.6396,93.23059999999998,0.0,30.0,19.2,5.139999999999999,35.0,1.0,225.0,300.0,0.0,17.299999999999997,65,1.00000028155478,1,0,1
56,21688.35193337332,3760.9858843999987,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']",7,,57,227,Fe4 O5,4705.465200000001,82.03059999999994,0.0,30.0,19.2,8.954,41.0,1.0,225.0,300.0,0.0,17.299999999999997,65,1.00000028155478,1,0,1
57,21688.35193337332,3760.9858843999987,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']",7,,58,227,Fe4 O5,4699.9292000000005,82.03059999999994,0.0,30.0,19.2,10.8,53.0,1.0,225.0,300.0,0.0,17.299999999999997,65,1.00000028155478,1,0,1
58,21688.35193337332,3760.9858843999987,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']",7,,59,227,Fe4 O5,13.0,0.0,0.0,30.0,19.2,0.2850000000000001,37.7,1.0,225.0,210.0,0.0,17.299999999999997,65,1.00000028155478,1,1,1
59,21688.35193337332,3760.9858843999987,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']",7,,60,227,Fe4 O5,13.0,2.5,5.0,30.0,19.2,0.2940000000000005,37.7,1.0,225.0,210.0,0.0,17.299999999999997,65,1.00000028155478,1,0,1
60,21688.35193337332,3760.9858843999987,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']",9,,61,227,Fe4 O5,521.0,0.0,0.0,30.0,19.2,3.0950000000000024,37.0,1.0,225.0,120.0,0.0,17.299999999999997,65,1.00000028155478,1,1,1
61,21688.35193337332,3760.9858843999987,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']",9,,62,227,Fe4 O5,560.0,719.0,5.0,30.0,19.2,2.8000000000000007,37.0,1.0,225.0,120.0,3.99,17.299999999999997,65,1.00000028155478,1,0,1
62,21688.35193337332,3760.9858843999987,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']",9,,63,227,Fe4 O5,2202.0,0.0,0.0,30.0,19.2,5.149000000000001,32.9,1.0,225.0,2.0,0.0,17.299999999999997,65,1.00000028155478,1,1,1
63,21688.35193337332,3760.9858843999987,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']",9,,64,227,Fe4 O5,3195.5,2878.5,5.0,30.0,19.2,8.3485,33.6,1.0,225.0,2.0,8.398000000000001,17.299999999999997,65,1.00000028155478,1,0,1
