,area/volume,h_range_max_koe,Tc,temperature_k,sat_em_g,coer_oe,mr (emu/g),exc_bias_oe,exc_dir,ver_shift_emu_g,ver_s_dir,fc_field_t,sphericity,max/min,core_b,core_alpha,core_beta,core_gamma,shell_b,shell_alpha,shell_beta,shell_gamma,num_of_magn_ions,Tn-Tb/Tn,Aex,core_c/a,core_pauling_electronegativity,shell_pauling_electronegativity,core_sum_vec,core_sum_work_function,shell_sum_vec,shell_sum_work_function,core_pauling_electronegativity_difference,core_vec_difference,core_work_function_difference,shell_pauling_electronegativity_difference,shell_vec_difference,shell_work_function_difference,Unnamed: 0
78,0.117647,30.0,800.0,300.0,90.94999999999999,799.6500000000001,21.0,0.05000000000001137,1.0,0.43000000000000005,1.0,2.0,0.805996,1.0,2.843446,90.0,90.0,90.0,0.0,0.0,0.0,0.0,1.0,0.616466,211.0116,1.0,185.5,0.0,850.0,485.0,0.0,0.0,0.1347710000000002,0.588235,0.30927800000000083,0.0,-2.220446049250313e-16,0.0,78
79,0.133333,30.0,800.0,10.0,18.30000000000001,3999.65,21.6,0.05000000000001137,1.0,0.0,1.0,1.4,0.805996,1.0,2.685097,90.0,90.0,97.23775,0.0,0.0,0.0,0.0,1.0,0.61568,227.4824,1.223711,186.5,0.0,870.0,491.0,0.0,0.0,0.12285700000000022,0.5267330000000001,0.2799940000000003,0.0,-2.220446049250313e-16,0.0,79
80,0.125,30.0,800.0,150.0,13.0,2299.75,18.0,99.94999999999999,1.0,0.0,1.0,1.4,0.805996,1.0,2.685097,90.0,90.0,97.23775,0.0,0.0,0.0,0.0,1.0,0.534161,227.4824,1.223711,186.5,0.0,870.0,491.0,0.0,0.0,0.12285700000000022,0.5267330000000001,0.2799940000000003,0.0,-2.220446049250313e-16,0.0,80
81,0.117647,30.0,800.0,300.0,10.850000000000023,1099.75,11.7,0.05000000000001137,0.0,0.0,1.0,1.2,0.805996,1.0,2.693534,84.0,84.0,87.61887,0.0,0.0,0.0,0.0,1.0,0.64209,344.2897,1.111505,186.5,0.0,870.0,491.0,0.0,0.0,0.12285700000000022,0.5267330000000001,0.2799940000000003,0.0,-2.220446049250313e-16,0.0,81
82,0.1875,60.0,860.0,5.0,25.44999999999999,1620.97,10.5,781.28,0.0,3.7399999999999998,1.0,7.0,1.0,1.0,5.512634,96.2034,96.2034,141.6175,5.142692,74.87634,90.0,90.0,0.444444,-0.6666700000000001,105.4331,1.0,263.5,275.0,700.0,235.0,685.7143,201.4286,3.055028,1.428571,10.0,2.897249,1.443376,11.54701,82
83,0.24,60.0,860.0,5.0,19.20999999999998,2044.82,7.1,1022.0,0.0,3.717,1.0,7.0,0.805996,1.0,5.512634,96.2034,96.2034,141.6175,5.142692,74.87634,90.0,90.0,0.444444,-0.33,105.4331,1.0,263.5,275.0,700.0,235.0,685.7143,201.4286,3.055028,1.428571,10.0,2.897249,1.443376,11.54701,83
84,0.482143,50.0,860.0,20.0,20.000000000000057,681.8299999999999,10.0,471.0,0.0,0.0,1.0,0.10000000000000009,0.516643,1.0,5.512634,96.2034,96.2034,141.6175,5.142692,74.87634,90.0,90.0,0.444444,-0.33,105.4331,1.0,263.5,275.0,700.0,235.0,685.7143,201.4286,3.055028,1.428571,10.0,2.897249,1.443376,11.54701,84
85,0.419913,20.0,860.0,2.0,44.139999999999986,959.2,13.638,583.0,0.0,7.934000000000001,1.0,1.0,0.671139,1.0,5.512634,96.2034,96.2034,141.6175,5.142692,74.87634,90.0,90.0,0.444444,-0.33,105.4331,1.0,263.5,275.0,700.0,235.0,685.7143,201.4286,3.055028,1.428571,10.0,2.897249,1.443376,11.54701,85
86,0.217391,10.000000000000004,860.0,5.0,31.0,1897.0,28.9,1190.0,0.0,0.0,1.0,1.0,1.0,1.0,2.459352,109.4691,109.4671,109.4596,5.142692,74.87634,90.0,90.0,0.5,0.8656540000000001,105.4331,1.000148,183.0,275.0,800.0,470.0,685.7143,201.4286,0.0,0.0,0.0,2.897249,1.443376,11.54701,86
87,0.1875,10.000000000000004,858.0,5.0,84.0,862.0,76.8,133.0,0.0,0.4476,1.0,1.0,1.0,1.0,5.142692,74.87634,90.0,90.0,0.0,0.0,0.0,0.0,0.428571,0.862471,140.2505,1.708366,275.0,0.0,685.7143,201.4286,0.0,0.0,2.897249,1.443376,11.54701,0.0,-2.220446049250313e-16,0.0,87
88,0.2,60.0,985.0,30.0,15.122500000000002,1361.79,38.8493,20.0,0.0,0.3698999999999999,1.0,5.0,1.0,1.0,2.459352,109.4691,109.4671,109.4596,3.788512,90.0,90.0,90.0,0.5,0.883966,129.9983,1.000148,183.0,279.6,800.0,470.0,680.0,188.0,0.0,0.0,0.0,2.820943,1.440876,12.24745,88
89,0.3,60.0,985.0,15.0,15.246500000000026,2544.74,37.8808,1071.526,0.0,0.514774,1.0,5.0,1.0,1.0,2.459352,109.4691,109.4671,109.4596,3.788512,90.0,90.0,90.0,0.5,0.883966,129.9983,1.000148,183.0,279.6,800.0,470.0,680.0,188.0,0.0,0.0,0.0,2.820943,1.440876,12.24745,89
90,0.2,60.0,985.0,5.0,54.68860000000001,6193.508,49.286,1600.0,0.0,0.0,1.0,1.0,1.0,1.0,2.459352,109.4691,109.4671,109.4596,3.788512,90.0,90.0,90.0,0.5,0.883966,129.9983,1.000148,183.0,279.6,800.0,470.0,680.0,188.0,0.0,0.0,0.0,2.820943,1.440876,12.24745,90
91,0.375,50.0,860.0,300.0,38.89999999999998,1538.46,16.23,1000.0,0.0,0.0,1.0,0.0,0.516643,1.0,5.512634,96.2034,96.2034,141.6175,5.142692,74.87634,90.0,90.0,0.444444,-0.15224,105.4331,1.0,263.5,275.0,700.0,235.0,685.7143,201.4286,3.055028,1.428571,10.0,2.897249,1.443376,11.54701,91
92,0.167598,20.0,985.0,5.0,40.27140000000003,1746.242,10.8132,140.0,0.0,0.926,1.0,2.0,1.0,1.0,2.459352,109.4691,109.4671,109.4596,3.788512,90.0,90.0,90.0,0.5,0.883966,129.9983,1.000148,183.0,279.6,800.0,470.0,680.0,188.0,0.0,0.0,0.0,2.820943,1.440876,12.24745,92
93,0.128755,20.0,985.0,5.0,20.86200000000008,1359.636,7.2,964.9,0.0,4.79,1.0,1.36,1.0,1.0,2.459352,109.4691,109.4671,109.4596,3.788512,90.0,90.0,90.0,0.5,0.883966,129.9983,1.000148,183.0,279.6,800.0,470.0,680.0,188.0,0.0,0.0,0.0,2.820943,1.440876,12.24745,93
94,0.25441,15.0,262.0,15.0,7.538000000000011,933.9200000000001,0.7799999999999994,932.0,0.0,0.010000000000000009,0.0,0.10000000000000009,1.0,1.0,5.5522,90.0,90.0,120.0,5.5522,90.0,90.0,120.0,0.4,0.7259,17.695689999999985,2.390224,240.2,240.2,510.0,87.99999999999997,510.0,88.0,3.609699,2.547511,19.55312,3.609699,2.547511,19.55312,94
95,0.25441,15.0,262.0,50.0,5.942000000000007,206.0,0.5365000000000002,865.6,0.0,0.031500000000000083,0.0,0.10000000000000009,1.0,1.0,5.5522,90.0,90.0,120.0,5.5522,90.0,90.0,120.0,0.4,0.7259,17.695689999999985,2.390224,240.2,257.5,510.0,87.99999999999997,525.0,73.33333,3.609699,2.547511,19.55312,3.088834,2.138443,22.04819,95
96,0.181006,15.0,262.0,100.0,20.870000000000005,176.32700000000023,0.22199999999999953,122.374,0.0,0.020000000000000018,0.0,0.10000000000000009,1.0,1.0,5.5522,90.0,90.0,120.0,5.5522,90.0,90.0,120.0,0.4,0.676091,17.695689999999985,2.390224,240.2,269.8571,510.0,87.99999999999997,535.7143,62.85714,3.609699,2.547511,19.55312,2.72504,1.854381,24.26867,96
97,0.114618,15.0,262.0,250.0,1.0253000000000156,919.3,0.0908730000000002,510.4,0.0,0.0008749999999997371,1.0,0.10000000000000009,1.0,1.0,5.5522,90.0,90.0,120.0,5.5522,90.0,90.0,120.0,0.4,0.513402,17.695689999999985,2.390224,240.2,279.125,510.0,87.99999999999997,543.75,55.0,3.609699,2.547511,19.55312,2.455343,1.645225,26.29104,97
98,0.07499999999999998,10.000000000000004,858.0,5.0,40.434000000000026,107.0,31.809999999999995,13.0,0.0,0.0020000000000000018,0.0,2.0,1.0,1.0,5.537194,111.228,113.6974,103.6514,5.142692,74.87634,90.0,90.0,0.384615,-0.24999999999999994,84.15029,1.0,287.0,275.0,616.6667,150.0,685.7143,201.4286,2.815912,1.45545,14.16307,2.897249,1.443376,11.54701,98
99,0.07499999999999998,10.000000000000004,858.0,5.0,40.434000000000026,450.0,31.809999999999995,78.0,0.0,0.006259999999999932,0.0,2.0,1.0,1.0,5.537194,111.228,113.6974,103.6514,5.142692,74.87634,90.0,90.0,0.384615,-0.24999999999999994,84.15029,1.0,287.0,275.0,616.6667,150.0,685.7143,201.4286,2.815912,1.45545,14.16307,2.897249,1.443376,11.54701,99
100,0.06818199999999999,20.0,730.0,300.0,0.0024999999999977263,5250.0,0.0009099999999993003,650.0,0.0,0.0,1.0,0.0,1.0,1.0,3.957177,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.4,0.959459,138.3562,1.0,243.0,0.0,520.0,94.0,0.0,0.0,3.403618,2.686808,19.49359,0.0,-2.220446049250313e-16,0.0,100
101,0.061224,20.0,730.0,300.0,0.0034999999999740794,4750.0,0.00036300000000011323,254.0,0.0,0.0,1.0,0.0,1.0,1.0,3.957177,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.4,0.959459,138.3562,1.0,243.0,0.0,520.0,94.0,0.0,0.0,3.403618,2.686808,19.49359,0.0,-2.220446049250313e-16,0.0,101
102,0.046875,20.0,730.0,300.0,0.0034999999999740794,1750.0,0.00022700000000064335,250.0,0.0,0.0,1.0,0.0,1.0,1.0,3.957177,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.4,0.959459,138.3562,1.0,243.0,0.0,520.0,94.0,0.0,0.0,3.403618,2.686808,19.49359,0.0,-2.220446049250313e-16,0.0,102
103,0.046875,20.0,730.0,10.0,31.596900000000005,750.0,11.9886,800.0,0.0,0.0,1.0,8.0,1.0,1.0,3.957177,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.4,0.959459,138.3562,1.0,243.0,0.0,520.0,94.0,0.0,0.0,3.403618,2.686808,19.49359,0.0,-2.220446049250313e-16,0.0,103
104,0.079239,10.000000000000004,730.0,300.0,0.004500000000007276,5275.5,0.0037000000000002586,511.81,0.0,0.0,1.0,0.0,1.0,1.0,3.957177,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.4,0.959459,138.3562,1.0,243.0,0.0,520.0,94.0,0.0,0.0,3.403618,2.686808,19.49359,0.0,-2.220446049250313e-16,0.0,104
105,0.252101,60.0,858.0,2.0,12.596499999999992,1889.91,19.82866,1350.0,0.0,0.463974,1.0,5.0,1.0,1.0,2.949546,60.0,60.0,60.0,5.142692,74.87634,90.0,90.0,0.375,0.9060060000000001,140.2505,1.0,0.0,275.0,0.0,0.0,685.7143,201.4286,0.0,0.0,0.0,2.897249,1.443376,11.54701,105
106,0.285714,60.0,858.0,100.0,26.94720000000001,502.30999999999995,41.0239,502.0,0.0,0.7726599999999999,1.0,5.0,1.0,1.0,2.949546,60.0,60.0,60.0,5.142692,74.87634,90.0,90.0,0.375,0.90694,140.2505,1.0,0.0,275.0,0.0,0.0,685.7143,201.4286,0.0,0.0,0.0,2.897249,1.443376,11.54701,106
107,0.306122,60.0,858.0,200.0,35.470860000000016,181.0,0.014787999999999357,181.0,0.0,1.3638,1.0,5.0,1.0,1.0,5.142692,74.87634,90.0,90.0,0.0,0.0,0.0,0.0,0.428571,0.965035,140.2505,1.708366,275.0,0.0,685.7143,201.4286,0.0,0.0,2.897249,1.443376,11.54701,0.0,-2.220446049250313e-16,0.0,107
