,c1,c2,c3,chemical_formula,crystal_structure,depth_nm,id,space_group_shell,structure,structure_,formula_combined,coer_oe,exc_bias_oe,fc_field_t,h_range_max_koe,length_d_nm,mr (emu/g),sat_em_g,shape,space_group_core,temperature_k,ver_shift_emu_g,width_nm
35,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']","cubic, trigonal",24.3,36,161,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,Fe2 Co1 O4 Fe1 Bi1 O3,4116.89,90.0,10.0,60.0,24.300000000000004,63.046,87.349,1.0,227.0,150.0,0.0,24.3
36,Fe2 Co1 O4,Fe1 Bi1 O3,,"['CoFe2O4', 'BiFeO3']","cubic, trigonal",32.9,37,161,CoFe2O4@BiFeO3,CoFe2O4@BiFeO3,Fe2 Co1 O4 Fe1 Bi1 O3,8966.0,50.0,10.0,60.0,32.900000000000006,73.151,87.83000000000001,1.0,227.0,5.0,0.0,32.9
37,Co1,Co1 O1,,"['Co', 'CoO']","hexagonal, cubic ",30.0,38,225,Co/CoO,Co/CoO,Co1 Co1 O1,538.4200000000001,-142.77999999999997,0.5,6.0,30.0,4.366099999999999,18.372,1.0,194.0,5.0,0.0,30.0
38,Co1,Co1 O1,,"['Co', 'CoO']","hexagonal, cubic ",30.0,39,225,Co/CoO,Co/CoO,Co1 Co1 O1,434.0,-137.21000000000004,0.5,6.0,30.0,4.366099999999999,18.372,1.0,194.0,5.0,0.0,30.0
39,Co1,Co1 O1,,"['Co', 'CoO']","hexagonal, cubic ",30.0,40,225,Co/CoO,Co/CoO,Co1 Co1 O1,280.0,-71.0,0.5,6.0,30.0,4.366099999999999,18.372,1.0,194.0,5.0,0.0,30.0
40,Co1,Co1 O1,,"['Co', 'CoO']","hexagonal, cubic ",30.0,41,225,Co/CoO,Co/CoO,Co1 Co1 O1,532.96,-346.379,0.5,6.0,30.0,4.366099999999999,18.372,1.0,194.0,5.0,0.0,30.0
41,Fe1 Rh1,,,['FeRh'],cubic,25.0,42,0,FeRh,FeRh,Fe1 Rh1,1661.3845,-952.57,1.0,0.10000000000000142,25.0,12.38458,31.36,1.0,221.0,2.0,0.0,25.0
42,Fe1 Rh1,,,['FeRh'],cubic,25.0,43,0,FeRh,FeRh,Fe1 Rh1,1322.79,-629.898,1.0,0.10000000000000142,25.0,11.453140000000001,55.691199999999995,1.0,221.0,2.0,0.0,25.0
43,Fe1 Rh1,,,['FeRh'],cubic,25.0,44,0,FeRh,FeRh,Fe1 Rh1,1070.862,-519.698,1.0,0.10000000000000142,25.0,15.9,20.040000000000003,1.0,221.0,2.0,0.0,25.0
44,Fe1 Rh1,,,['FeRh'],cubic,25.0,45,0,FeRh,FeRh,Fe1 Rh1,881.8975,-472.1585,1.0,0.10000000000000142,25.0,15.9,20.040000000000003,1.0,221.0,2.0,0.0,25.0
45,Fe1 Rh1,,,['FeRh'],cubic,200.0,46,0,FeRh,FeRh,Fe1 Rh1,806.3,-278.3,5.0,0.10000000000000142,200.0,5.9,31.04,1.0,221.0,2.0,0.0,200.0
46,Fe1 Rh1,,,['FeRh'],cubic,200.0,47,0,FeRh,FeRh,Fe1 Rh1,697.6950000000002,-185.144,5.0,0.10000000000000142,200.0,5.9,31.04,1.0,221.0,2.0,0.0,200.0
47,Fe1 Rh1,,,['FeRh'],cubic,200.0,48,0,FeRh,FeRh,Fe1 Rh1,636.065,-108.06499999999994,5.0,0.10000000000000142,200.0,5.9,31.04,1.0,221.0,2.0,0.0,200.0
48,Fe1 Rh1,,,['FeRh'],cubic,200.0,49,0,FeRh,FeRh,Fe1 Rh1,604.8299999999999,-76.83000000000004,5.0,0.10000000000000142,200.0,5.9,31.04,1.0,221.0,2.0,0.0,200.0
49,Mn1 O2,,,['MnO2'],tetragonal,0.0,50,0,MnO2,MnO2,Mn1 O2,145.0,-440.0,1.0,80.0,1000.0,0.021999999999998465,6.900000000000002,6.0,87.0,5.0,0.07000000000000006,20.0
50,Ag1,Fe3 O4,,"['Ag', 'Fe3O4']","cubic, cubic",65.0,51,227,Ag/Fe3O4,Ag/Fe3O4,Ag1 Fe3 O4,1186.0,-551.72,5.0,4.0,65.0,16.22,60.0,1.0,225.0,5.0,0.848,65.0
51,Ag1,Fe3 O4,,"['Ag', 'Fe3O4']","cubic, cubic",65.0,52,227,Ag/Fe3O4,Ag/Fe3O4,Ag1 Fe3 O4,1186.0,-551.72,1.0,4.0,65.0,16.22,60.0,1.0,225.0,5.0,0.0,65.0
52,Fe1,Fe2 O3,,"['Fe', 'Fe2O3']","cubic, cubic",11.65,53,212,Fe/γ-Fe2O3,Fe/Fe2O3,Fe1 Fe2 O3,2095.77,-96.76699999999994,5.0,4.0,11.649999999999999,247.96,384.56999999999994,1.0,229.0,5.0,111.36,11.649999999999999
53,Fe1,Fe2 O3,,"['Fe', 'Fe2O3']","cubic, cubic",11.65,54,212,Fe/γ-Fe2O3,Fe/Fe2O3,Fe1 Fe2 O3,1812.0,-1812.0,5.0,4.0,11.649999999999999,155.91,326.6,1.0,229.0,5.0,157.4,11.649999999999999
54,Fe1,Fe2 O3,,"['Fe', 'Fe2O3']","cubic, cubic",11.65,55,212,Fe/γ-Fe2O3,Fe/Fe2O3,Fe1 Fe2 O3,7238.0,-7238.0,5.0,4.0,11.649999999999999,117.33700000000002,326.6,1.0,229.0,5.0,116.99999999999999,11.649999999999999
55,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']","cubic, cubic",,56,227,FeO/Fe3O4,FeO/Fe3O4,Fe1 O1 Fe3 O4,4791.6396,-93.23059999999998,0.0,30.0,19.199999999999996,5.139999999999999,35.0,1.0,225.0,300.0,0.0,17.299999999999997
56,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']","cubic, cubic",,57,227,FeO/Fe3O4,FeO/Fe3O4,Fe1 O1 Fe3 O4,4705.465200000001,-82.03059999999994,0.0,30.0,19.199999999999996,8.954,41.0,1.0,225.0,300.0,0.0,17.299999999999997
57,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']","cubic, cubic",,58,227,FeO/Fe3O4,FeO/Fe3O4,Fe1 O1 Fe3 O4,4699.9292000000005,-82.03059999999994,0.0,30.0,19.199999999999996,10.8,53.0,1.0,225.0,300.0,0.0,17.299999999999997
58,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']","cubic, cubic",,59,227,FeO/Fe3O4,FeO/Fe3O4,Fe1 O1 Fe3 O4,13.0,0.0,0.0,30.0,19.199999999999996,0.28500000000000014,37.7,1.0,225.0,210.0,0.0,17.299999999999997
59,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']","cubic, cubic",,60,227,FeO/Fe3O4,FeO/Fe3O4,Fe1 O1 Fe3 O4,13.0,-2.5,5.0,30.0,19.199999999999996,0.2940000000000005,37.7,1.0,225.0,210.0,0.0,17.299999999999997
60,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']","cubic, monoclinic",,61,227,FeO/Fe3O4,FeO/Fe3O4,Fe1 O1 Fe3 O4,521.0,0.0,0.0,30.0,19.199999999999996,3.0950000000000024,37.0,1.0,225.0,120.0,0.0,17.299999999999997
61,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']","cubic, monoclinic",,62,227,FeO/Fe3O4,FeO/Fe3O4,Fe1 O1 Fe3 O4,560.0,-719.0,5.0,30.0,19.199999999999996,2.8000000000000007,37.0,1.0,225.0,120.0,3.99,17.299999999999997
62,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']","cubic, monoclinic",,63,227,FeO/Fe3O4,FeO/Fe3O4,Fe1 O1 Fe3 O4,2202.0,0.0,0.0,30.0,19.199999999999996,5.149000000000001,32.9,1.0,225.0,2.0,0.0,17.299999999999997
63,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']","cubic, monoclinic",,64,227,FeO/Fe3O4,FeO/Fe3O4,Fe1 O1 Fe3 O4,3195.5,-2878.5,5.0,30.0,19.199999999999996,8.3485,33.6,1.0,225.0,2.0,8.398000000000001,17.299999999999997
64,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']","cubic, monoclinic",,65,227,FeO/Fe3O4,FeO/Fe3O4,Fe1 O1 Fe3 O4,628.5,0.0,0.0,30.0,19.199999999999996,13.33,54.8,1.0,225.0,2.0,0.0,17.299999999999997
65,Fe1 O1,Fe3 O4,,"['FeO', 'Fe3O4']","cubic, monoclinic",,66,227,FeO/Fe3O4,FeO/Fe3O4,Fe1 O1 Fe3 O4,767.0,-329.0,5.0,30.0,19.199999999999996,22.313,54.8,1.0,225.0,2.0,9.188,17.299999999999997
66,Ni1 O1,,,['NiO'],cubic,,67,0,NiO,NiO,Ni1 O1,87.01999999999998,0.0,0.0,15.0,34.4,2.6500000000000004,0.17999999999999972,6.0,225.0,300.0,0.0,10.969999999999999
67,Fe3 O4,,,['Fe3O4'],cubic,33.0,68,0,Fe3O4,Fe3O4,Fe3 O4,22.409999999999854,0.0,0.0,15.0,33.0,1.6500000000000004,70.264,1.0,227.0,300.0,0.0,33.0
68,Fe3 O4,Ni1 O1,,"['Fe3O4', 'NiO']","cube, cube",52.02,69,227,NiO/Fe3O4,NiO/Fe3O4,Fe3 O4 Ni1 O1,37.090000000000146,0.0,0.0,15.0,52.02,1.3499999999999996,31.33,1.0,225.0,300.0,0.0,52.02
69,Ni1 O1,Fe3 O4,,"['NiO', 'Fe3O4']","cube, cube",31.75,70,225,Fe3O4/NiO,Fe3O4/NiO,Ni1 O1 Fe3 O4,100.28999999999996,0.0,0.0,15.0,31.75,2.16,40.03,1.0,227.0,300.0,0.0,31.75
70,Fe3 O4,Ni1 O1,,"['Fe3O4', 'NiO']","cube, cube",52.02,71,227,NiO/Fe3O4,NiO/Fe3O4,Fe3 O4 Ni1 O1,95.69000000000005,-329.43,2.4139999999999997,15.0,52.02,8.6,33.0,1.0,225.0,60.0,8.6,52.02
71,Ni1 O1,Fe3 O4,,"['NiO', 'Fe3O4']","cube, cube",31.75,72,225,Fe3O4/NiO,Fe3O4/NiO,Ni1 O1 Fe3 O4,145.17999999999984,145.17999999999995,1.214,15.0,31.75,8.16,44.89,1.0,227.0,60.0,-8.16,31.75
72,Fe4 Bi2 O9,Fe1 Bi1 O3,,"['Bi2Fe4O9', 'BiFeO3']",trigonal,19.0,73,161,Bi2Fe4O9/BiFeO3,Bi2Fe4O9/BiFeO3,Fe4 Bi2 O9 Fe1 Bi1 O3,1300.0,-1600.0,5.0,50.0,19.0,0.0519999999999996,1.3126999999999924,1.0,55.0,2.0,0.052999999999999936,19.0
73,Fe1 Bi1 O3,Fe4 Bi2 O9,,"['BiFeO3', 'Bi2Fe4O9']","trigonal, orthorhombic",13.0,74,55,BiFeO3/Bi2Fe4O9,BiFeO3/Bi2Fe4O9,Fe1 Bi1 O3 Fe4 Bi2 O9,1225.0,1825.0,5.0,50.0,13.000000000000007,0.045999999999999375,43.278,1.0,161.0,2.0,0.05400000000000005,13.0
74,Fe1 Bi1 O3,Fe4 Bi2 O9,,"['BiFeO3', 'Bi2Fe4O9']","trigonal, orthorhombic",19.0,75,55,BiFeO3/Bi2Fe4O9,BiFeO3/Bi2Fe4O9,Fe1 Bi1 O3 Fe4 Bi2 O9,900.0,-1500.0,5.0,50.0,19.0,0.0365000000000002,30.996299999999998,1.0,161.0,2.0,0.05800000000000005,19.0
75,Fe1 Bi1 O3,Fe4 Bi2 O9,,"['BiFeO3', 'Bi2Fe4O9']","trigonal, orthorhombic",13.0,76,55,BiFeO3/Bi2Fe4O9,BiFeO3/Bi2Fe4O9,Fe1 Bi1 O3 Fe4 Bi2 O9,750.0,1650.0,5.0,50.0,13.000000000000007,0.04899999999999949,43.278,1.0,161.0,2.0,0.06099999999999994,13.0
76,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']","tetragonal, cubic",12.9,77,213,TiO2/Fe2O3,TiO2/Fe2O3,Ti1 O2 Fe2 O3,449.3800000000001,9.409999999999968,0.0,40.0,12.899999999999999,17.6,52.0,1.0,136.0,2.0,0.0,12.899999999999999
77,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']","tetragonal, cubic",12.9,78,213,TiO2/Fe2O3,TiO2/Fe2O3,Ti1 O2 Fe2 O3,477.61400000000003,-84.70000000000005,1.0,40.0,12.899999999999999,22.13,51.385,1.0,136.0,2.0,3.77,12.899999999999999
78,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']","tetragonal, cubic",12.9,79,213,TiO2/Fe2O3,TiO2/Fe2O3,Ti1 O2 Fe2 O3,471.34000000000015,-71.36000000000001,2.0,60.0,12.899999999999999,21.98,52.18,1.0,136.0,2.0,3.3,12.899999999999999
79,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']","tetragonal, cubic",12.9,80,213,TiO2/Fe2O3,TiO2/Fe2O3,Ti1 O2 Fe2 O3,453.4000000000001,-64.76400000000001,4.0,60.0,12.899999999999999,21.963,60.513,1.0,136.0,2.0,2.8,12.899999999999999
80,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']","tetragonal, cubic",12.9,81,213,TiO2/Fe2O3,TiO2/Fe2O3,Ti1 O2 Fe2 O3,415.0,5.0,0.0,40.0,12.899999999999999,17.09,50.3,1.0,136.0,10.0,0.0,12.899999999999999
81,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']","tetragonal, cubic",12.9,82,213,TiO2/Fe2O3,TiO2/Fe2O3,Ti1 O2 Fe2 O3,429.0,-49.72500000000002,1.0,40.0,12.899999999999999,19.818,50.275,1.0,136.0,10.0,2.546,12.899999999999999
82,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']","tetragonal, cubic",12.9,83,213,TiO2/Fe2O3,TiO2/Fe2O3,Ti1 O2 Fe2 O3,421.24000000000024,-41.960000000000036,3.0,60.0,12.899999999999999,19.4,48.91,1.0,136.0,10.0,2.4,12.899999999999999
83,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']","tetragonal, cubic",12.9,84,213,TiO2/Fe2O3,TiO2/Fe2O3,Ti1 O2 Fe2 O3,55.121999999999844,2.419999999999959,0.0,40.0,12.899999999999999,3.1950000000000003,51.0,1.0,136.0,100.0,0.0,12.899999999999999
84,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']","tetragonal, cubic",12.9,85,213,TiO2/Fe2O3,TiO2/Fe2O3,Ti1 O2 Fe2 O3,53.7800000000002,2.419999999999959,1.0,40.0,12.899999999999999,3.3450000000000006,48.85,1.0,136.0,100.0,-0.10000000000000009,12.899999999999999
85,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']","tetragonal, cubic",12.9,86,213,TiO2/Fe2O3,TiO2/Fe2O3,Ti1 O2 Fe2 O3,53.0,2.419999999999959,2.0,60.0,12.899999999999999,3.375,50.6,1.0,136.0,100.0,-0.6600000000000001,12.899999999999999
86,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']","tetragonal, cubic",12.9,87,213,TiO2/Fe2O3,TiO2/Fe2O3,Ti1 O2 Fe2 O3,20.11499999999978,1.3550000000000182,0.0,40.0,12.899999999999999,1.4420000000000002,52.5,1.0,136.0,300.0,0.0,12.899999999999999
87,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']","tetragonal, cubic",12.9,88,213,TiO2/Fe2O3,TiO2/Fe2O3,Ti1 O2 Fe2 O3,19.88000000000011,-0.6585000000000036,1.0,40.0,12.899999999999999,1.4380000000000024,46.11,1.0,136.0,300.0,-0.139,12.899999999999999
88,Ti1 O2,Fe2 O3,,"['TiO2', 'Fe2O3']","tetragonal, cubic",12.9,89,213,TiO2/Fe2O3,TiO2/Fe2O3,Ti1 O2 Fe2 O3,20.81399999999985,-0.6589999999999918,2.0,60.0,12.899999999999999,1.5775000000000023,45.78,1.0,136.0,300.0,-0.06950000000000012,12.899999999999999
89,Fe3 O4,,,['Fe3O4'],cube,15.0,90,0,Fe3O4,Fe3O4,Fe3 O4,624.0999999999999,-15.0,3.0,20.0,15.0,33.04,57.0,1.0,227.0,5.0,3.8,15.0
90,Fe13 Co2 O20,,,['Co0.4Fe2.6O4'],cube,16.8,91,0,Co0.4Fe2.6O4,CoFe6.5O10,Fe13 Co2 O20,8336.0,-52.0,3.0,20.0,16.800000000000004,43.5,55.0,1.0,227.0,5.0,2.15,16.8
91,Fe23 Co7 O40,,,['Co0.7Fe2.3O4'],cube,18.6,92,0,Co0.7Fe2.3O4,CoFe3.22O5.6,Fe23 Co7 O40,10760.0,-70.0,3.0,20.0,18.6,36.47,51.0,1.0,227.0,5.0,0.0,18.6
92,Fe2 Co1 O4,,,['CoFe2O4'],cube,20.0,93,0,CoFe2O4,CoFe2O4,Fe2 Co1 O4,14563.0,-20.0,3.0,20.0,20.0,32.22,45.0,1.0,227.0,5.0,2.48,20.0
93,Fe1 Bi1 O3,,,['BiFeO3'],trigonal,18.0,94,0,BiFeO3,BiFeO3,Fe1 Bi1 O3,1219.58,-1219.58,6.5,50.0,18.0,0.048500000000000654,1.2590000000000003,1.0,161.0,10.0,0.04849999999999999,17.999999999999996
