,Unnamed: 0,area/volume,volume,area,space_group_core,space_group_shell,h_range_max_koe,Tb,TN,Tc,x,y,z,shape,temperature_k,sat_em_g,coer_oe,mr (emu/g),exc_bias_oe,exc_dir,ver_shift_emu_g,ver_s_dir,fc_field_t,sphericity,max/min,core_a,core_b,core_c,core_alpha,core_beta,core_gamma,shell_a,shell_b,shell_c,shell_alpha,shell_beta,shell_gamma,total_ions,z_ions,core_total_ions,core_magnetic_ions,shell_total_ions,shell_magnetic_ions,num_of_magn_ions,Tn-Tb/Tn,Aex,core,shell,formula
42,42,0.12,65449.79167,7853.975,221,0,0.1,27,353,370,25,25,25,1,2,18.248,1322.79,0.059892,629.898,0,0,1,1,1,1,3.018914,3.018914,3.018914,90,90,90,0,0,0,0,0,0,2,1,2,1,0,0,0.5,0.9235127479,0,FeRh,0,FeRh
43,43,0.12,65449.79167,7853.975,221,0,0.1,27,353,370,25,25,25,1,2,18.248,1070.862,0.059892,519.698,0,0,1,1,1,1,3.018914,3.018914,3.018914,90,90,90,0,0,0,0,0,0,2,1,2,1,0,0,0.5,0.9235127479,0,FeRh,0,FeRh
44,44,0.12,65449.79167,7853.975,221,0,0.1,27,353,370,25,25,25,1,2,18.248,881.8975,0.059892,472.1585,0,0,1,1,1,1,3.018914,3.018914,3.018914,90,90,90,0,0,0,0,0,0,2,1,2,1,0,0,0.5,0.9235127479,0,FeRh,0,FeRh
45,45,0.015,33510293.33,502654.4,221,0,0.1,27,353,370,200,200,200,1,2,16.358,806.3,8.35808,278.3,0,0,1,5,1,1,3.018914,3.018914,3.018914,90,90,90,0,0,0,0,0,0,2,1,2,1,0,0,0.5,0.9235127479,0,FeRh,0,FeRh
46,46,0.015,33510293.33,502654.4,221,0,0.1,27,353,370,200,200,200,1,2,16.358,697.695,8.35808,185.144,0,0,1,5,1,1,3.018914,3.018914,3.018914,90,90,90,0,0,0,0,0,0,2,1,2,1,0,0,0.5,0.9235127479,0,FeRh,0,FeRh
47,47,0.015,33510293.33,502654.4,221,0,0.1,27,353,370,200,200,200,1,2,16.358,636.065,8.35808,108.065,0,0,1,5,1,1,3.018914,3.018914,3.018914,90,90,90,0,0,0,0,0,0,2,1,2,1,0,0,0.5,0.9235127479,0,FeRh,0,FeRh
48,48,0.015,33510293.33,502654.4,221,0,0.1,27,353,370,200,200,200,1,2,16.358,604.83,8.35808,76.83,0,0,1,5,1,1,3.018914,3.018914,3.018914,90,90,90,0,0,0,0,0,0,2,1,2,1,0,0,0.5,0.9235127479,0,FeRh,0,FeRh
49,49,0.3,15707950,4712385,87,0,80,92,42,140,1000,20,0,6,5,6.9,145,0.022,440,0,0.07,1,1,0.0643659771,50,2.920997,2.920997,3.705286,90,90,90,0,0,0,0,0,0,3,1,3,1,0,0,0.3333333333,-1.19047619,0,MnO2,0,MnO2
50,50,0.04615384615,1150345.538,53092.871,225,227,4,45,314.4,858,65,65,65,1,5,60,1186,16.22,551.72,0,0.848,1,5,1,1,2.941951704,2.941951704,2.941951704,60,60,60,3.058813,5.142692,5.225572969,74.87633512,90,90,8,4,1,1,7,3,0.5,0.856870229,105.1878621,Ag,Fe3O4,Ag/Fe3O4
51,51,0.04615384615,1150345.538,53092.871,225,227,4,45,436,858,65,65,65,1,5,60,1186,16.22,551.72,0,0,1,1,1,1,2.941951704,2.941951704,2.941951704,60,60,60,3.058813,5.142692,5.225572969,74.87633512,90,90,8,4,1,1,7,3,0.5,0.8967889908,105.1878621,Ag,Fe3O4,Ag/Fe3O4
52,52,0.2575107296,6623.171771,1705.537795,229,212,4,110,948,1043,11.65,11.65,11.65,1,5,384.57,2095.77,247.96,96.767,0,111.36,1,5,1,1,2.459206015,2.459351531,2.459570029,109.469122,109.4670629,109.4595825,3.788512,3.788512,3.788512,90,90,90,6,3,1,1,5,2,0.5,0.8839662447,137.6529888,Fe,Fe2O3,Fe/Fe2O3
53,53,0.2575107296,6623.171771,1705.537795,229,212,4,110,948,1043,11.65,11.65,11.65,1,5,326.6,1812,155.91,1812,0,157.4,1,5,1,1,2.459206015,2.459351531,2.459570029,109.469122,109.4670629,109.4595825,3.788512,3.788512,3.788512,90,90,90,6,3,1,1,5,2,0.5,0.8839662447,137.6529888,Fe,Fe2O3,Fe/Fe2O3
54,54,0.2575107296,6623.171771,1705.537795,229,212,4,110,948,1043,11.65,11.65,11.65,1,5,326.6,7238,117.337,7238,0,117,1,5,1,1,2.459206015,2.459351531,2.459570029,109.469122,109.4670629,109.4595825,3.788512,3.788512,3.788512,90,90,90,6,3,1,1,5,2,0.5,0.8839662447,137.6529888,Fe,Fe2O3,Fe/Fe2O3
55,55,0.15625,29647.76288,4632.46295,225,227,30,266,200,858,19.2,17.3,15.4,1,300,35,652.1534,5.14,93.2306,0,0,1,0,1,1.246753247,5.512634482,5.512634482,5.512634482,96.20340084,96.20340084,141.6175122,3.058813,5.142692,5.225572969,74.87633512,90,90,9,4,2,1,7,3,0.4444444444,-0.33,105.1878621,FeO,Fe3O4,FeO-Fe3O4
56,56,0.15625,29647.76288,4632.46295,225,227,30,266,200,858,19.2,17.3,15.4,1,300,41,652.1534,8.954,82.0306,0,0,1,0,1,1.246753247,5.512634482,5.512634482,5.512634482,96.20340084,96.20340084,141.6175122,3.058813,5.142692,5.225572969,74.87633512,90,90,9,4,2,1,7,3,0.4444444444,-0.33,105.1878621,FeO,Fe3O4,FeO-Fe3O4
57,57,0.15625,29647.76288,4632.46295,225,227,30,266,200,858,19.2,17.3,15.4,1,300,53,652.1534,10.8,82.0306,0,0,1,0,1,1.246753247,5.512634482,5.512634482,5.512634482,96.20340084,96.20340084,141.6175122,3.058813,5.142692,5.225572969,74.87633512,90,90,9,4,2,1,7,3,0.4444444444,-0.33,105.1878621,FeO,Fe3O4,FeO-Fe3O4
58,58,0.15625,29647.76288,4632.46295,225,227,30,266,200,858,19.2,17.3,15.4,1,210,37.7,13,0.285,0,1,0,1,0,1,1.246753247,5.512634482,5.512634482,5.512634482,96.20340084,96.20340084,141.6175122,3.058813,5.142692,5.225572969,74.87633512,90,90,9,4,2,1,7,3,0.4444444444,-0.33,105.1878621,FeO,Fe3O4,FeO-Fe3O4
